Station Code,Name of Monitoring Location,State Name,Temp_Min,Temp_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,DOB_Max,Nitrate?N + Nitrite_N Min,Nitrate?N + Nitrite_N Max,Fecal Coliform_Min,Fecal Coliform_Max,Total Coliform_Min,Total Coliform_Max,Total Dissolved Solids_Min,Total Dissolved Solids_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max,Drinkability
4353,"BORE WELL AT MANGARAJU HOUSE, GAJAPATHINAGARAMVILLAGE, PAYAKARAOPETA (M)",ANDHRA PRADESH,25.0,29.0,7.93,8.15,3460.0,3890.0,7.93,2.0,10.98,49.22,3.0,4.0,64.0,64.0,2344.0,2528.0,0.27,0.27,0.0006,0.0006,Not Drinkable
4354,"BORE WELL, SRI NOOKATATA TEMPLE RAJAYYAPETA VILLAGE,NAKKAPALLI (M)",ANDHRA PRADESH,26.0,27.0,7.49,7.88,10380.0,11120.0,7.49,2.1,8.91,10.05,3.0,4.0,43.0,75.0,6520.0,7640.0,0.46,0.55,0.01,0.01,Not Drinkable
4355,"BORE WELL, CHIPPADA (V),BHEEMUNIPATNAM (M)",ANDHRA PRADESH,23.0,28.0,6.8,7.17,855.0,858.0,6.8,1.6,8.88,9.25,3.0,3.0,64.0,64.0,540.0,588.0,0.64,0.64,0.01,0.01,Not Drinkable
4360,"BORE WELL AT IDA, RAMANAYYAPETA, KAKINADATOWN",ANDHRA PRADESH,24.0,28.0,8.07,8.08,798.0,886.0,8.07,1.1,3.49,3.92,3.0,3.0,28.0,43.0,520.0,538.0,0.47,0.47,0.0057,0.006,Not Drinkable
4364,"BORE WALL AT RAJIV GRUHAKALAPA, NEAR AP PAPER MILLS WORKERS COLONY, MALLAYYAPETA, KATHERU,RAJAMAHENDRAVARAM",ANDHRA PRADESH,24.0,26.0,7.45,8.29,709.0,940.0,7.45,1.6,0.32,8.02,3.0,3.0,39.0,48.0,458.0,652.0,0.27,0.54,0.0006,0.0006,Drinkable
4376,"BOREWELL WATER , APIIC OFFICE, IDA KONDAPALLI, KONDAPALLI (V),IBRAHIMPATNAM (M)",ANDHRA PRADESH,22.0,24.0,7.44,7.6,4770.0,7670.0,7.44,2.9,2.92,2.98,3.0,7.0,23.0,75.0,2990.0,4600.0,0.93,0.98,0.0007,0.0038,Not Drinkable
4377,"BOREWELL AT IMITATION JEWELLARY PARK,MACHILIPTNAM TOWN",ANDHRA PRADESH,27.0,27.0,8.07,8.19,8920.0,10200.0,8.07,2.9,3.34,4.47,3.0,5.0,28.0,64.0,5440.0,6120.0,0.92,0.96,0.0009,0.0009,Not Drinkable
4380,"BOREWELL WATER , SRI VENKATESWARA SWAMY TEMPLE, VENKATA PALEM (V),TULLUR (M)",ANDHRA PRADESH,21.0,22.0,7.26,7.93,802.0,980.0,7.26,2.4,0.65,0.71,3.0,3.0,9.0,14.0,498.0,584.0,0.58,0.61,0.0005,0.0036,Drinkable
4382,"BOREWELL AT PEDAKAKANI POLICE STATION, AUTONAGAR,PEDAKAKANI (V & M)",ANDHRA PRADESH,21.0,22.0,7.4,7.68,4360.0,4476.0,7.4,2.4,4.32,4.83,3.0,4.0,15.0,21.0,2730.0,2740.0,0.4,0.43,0.0049,0.0049,Not Drinkable
4384,"BOREWELL IN FRONT OF M/S BHAGEERADHA CHEMICALS & INDUSTRIES LTD, CHERUVUKOMMUPALEM (V),ONGOLE (M)",ANDHRA PRADESH,24.0,25.0,7.3,7.98,9200.0,10280.0,7.3,2.8,8.37,9.1,3.0,10.0,39.0,75.0,5520.0,6270.0,0.99,1.23,0.0012,0.0014,Not Drinkable
4392,"BOREWELL NEAR SRI GOVINDARAJA SWAMY TEMPLE,TIRUPATI TOWN",ANDHRA PRADESH,24.0,29.0,6.6,6.7,1034.0,1051.0,6.6,5.0,4.53,8.72,7.0,7.0,46.0,46.0,631.0,674.0,0.8,0.8,0.01,0.01,Not Drinkable
4393,"CLOSED MSW DUMPSITE,UKKAYAPALLI (V), KADAPA (M)",ANDHRA PRADESH,25.0,25.0,7.1,7.2,2408.0,2603.0,7.1,2.0,9.01,9.42,12.0,12.0,69.0,69.0,1562.0,1571.0,0.8,1.4,0.01,0.01,Not Drinkable
4394,"BOREWELL AT APIIC OFFICE INDUSTRIAL ESTATE GROWTH CENTRE, THUMAKUNTA (V),HINDUPUR (M)",ANDHRA PRADESH,28.0,28.0,6.9,6.9,1806.0,3170.0,6.9,1.2,1.19,5.84,8.0,8.0,42.0,42.0,1178.0,1902.0,0.9,1.8,0.01,0.01,Not Drinkable
4395,"BOREWELL AT APIIC OFFICE INDUSTRIAL ESTATE,ANANTAPUR(M)",ANDHRA PRADESH,27.0,27.0,-6.9,7.5,3070.0,3127.0,-6.9,5.0,7.46,8.26,2.0,2.0,27.0,27.0,1845.0,2041.0,1.3,1.7,0.01,0.01,Not Drinkable
1533,"GROUND WATER AT DIGBOI,TINSUKIA DISTT., ASSAM",ASSAM,22.0,27.0,6.9,7.2,308.0,313.0,6.9,2.5,0.8,1.0,2.0,2.0,4.5,8.0,176.0,212.0,0.3,0.31,0.01,0.01,Drinkable
1534,"GROUND WATER AT KARBIANGLONG TOWN, ASSAM",ASSAM,26.0,26.0,7.0,7.0,268.0,268.0,7.0,2.5,1.4,1.4,2.0,2.0,4.5,8.0,186.0,186.0,0.32,0.32,0.01,0.01,Drinkable
1535,"GROUND WATER AT SIVASAGAR GOVT ME SCHOOL WARD 6, REDCROSS ROAD , ASSAM",ASSAM,20.0,26.0,6.8,7.0,295.0,298.0,6.8,2.4,0.8,0.9,2.0,2.0,4.5,8.0,166.0,190.0,0.3,0.31,0.01,0.01,Drinkable
1536,GROUND WATER FROM NEAR BPMS H.S. SCHOOL SONARITOWN DIST CHARAIDEO,ASSAM,22.0,24.0,6.9,7.2,378.0,385.0,6.9,2.6,0.8,1.0,360.0,360.0,910.0,910.0,212.0,236.0,0.3,0.31,0.01,0.01,Not Drinkable
1537,"GROUND WATER FROM JORHATTOWN, ASSAM",ASSAM,18.0,26.0,6.9,7.8,274.0,366.0,6.9,2.6,0.8,0.9,2.0,2.0,4.5,8.0,196.0,204.0,0.28,0.31,0.01,0.01,Drinkable
1538,"GROUND WATER FROM SILCHARTOWN , ASSAM",ASSAM,24.0,24.0,6.8,6.8,126.0,126.0,6.8,2.0,1.0,1.0,1.8,1.8,1.8,1.8,80.0,80.0,0.26,0.26,0.01,0.01,Drinkable
1539,"GROUND WATER FROM BARPETATOWN, ASSAM",ASSAM,29.0,29.0,7.6,7.6,166.0,166.0,7.6,2.5,0.9,0.9,2.0,2.0,4.5,8.0,124.0,124.0,0.32,0.32,0.02,0.02,Not Drinkable
1540,"GROUND WATER FROMBONAIGAON TOWN, ASSAM",ASSAM,27.0,30.0,6.8,6.9,312.0,318.0,6.8,2.4,0.7,0.9,2.0,2.0,4.5,8.0,182.0,198.0,0.31,0.32,0.01,0.01,Drinkable
1541,"GROUND WATER FROMNOONMATI GUWAHATI, ASSAM",ASSAM,25.0,25.0,6.7,6.8,342.0,346.0,6.7,2.5,0.8,0.9,2.0,2.0,4.5,8.0,190.0,216.0,0.3,0.31,0.01,0.01,Drinkable
1542,"GROUND WATER FROM SIJUBARI MAZAR, NATBOMA HATIGAON,GUWAHATI",ASSAM,22.0,30.0,7.2,7.4,358.0,363.0,7.2,2.4,0.8,0.9,2.0,2.0,4.5,8.0,122.0,206.0,0.3,0.33,0.01,0.01,Drinkable
2243,"GROUND WATER FROM LEDO,MARGHERITA, ASSAM",ASSAM,23.0,23.0,6.9,7.4,290.0,295.0,6.9,2.4,0.9,1.0,2.0,2.0,4.5,8.0,168.0,180.0,0.29,0.3,0.01,0.01,Drinkable
2244,"GROUND WATER FROM NAZIRA,ASSAM",ASSAM,20.0,25.0,6.9,7.1,356.0,362.0,6.9,2.6,0.9,1.1,2.0,2.0,4.5,8.0,202.0,226.0,0.28,0.31,0.01,0.01,Drinkable
2245,"GROUND WATER FROM NUMALIGARH (NEAR NRL TELABOR COLONY), ASSAM",ASSAM,25.0,26.0,6.8,-6.9,214.0,220.0,6.8,2.6,0.8,0.9,2.0,2.0,4.5,8.0,126.0,140.0,0.29,0.31,0.01,0.01,Drinkable
2246,"GROUND WATER FROMSEMENCHAPARI, ASSAM",ASSAM,23.0,23.0,7.1,7.1,196.0,196.0,7.1,2.6,1.2,1.2,2.0,2.0,4.5,8.0,136.0,136.0,0.33,0.33,0.01,0.01,Drinkable
2247,"GROUND WATER FROMSILAPATHAR, ASSAM",ASSAM,23.0,23.0,7.0,7.0,264.0,264.0,7.0,2.5,1.4,1.4,2.0,2.0,4.5,8.0,178.0,178.0,0.32,0.32,0.01,0.01,Drinkable
2248,"GROUND WATER FROMLAKHIMPUR TOWN, ASSAM",ASSAM,22.0,26.0,7.6,7.7,258.0,262.0,7.6,2.6,0.7,0.9,2.0,2.0,4.5,8.0,146.0,172.0,0.28,0.33,0.01,0.01,Drinkable
2249,"GROUND WATER FROM TEZPUR(MISSION CHARIALI), ASSAM",ASSAM,26.0,26.0,6.8,7.0,280.0,280.0,6.8,2.6,0.8,1.4,1.8,1.8,1.8,1.8,168.0,190.0,0.3,0.33,0.01,0.01,Drinkable
2250,"GROUND WATER FROM NAGAON(PANIGAON), ASSAM",ASSAM,24.0,24.0,6.9,7.1,320.0,324.0,6.9,2.6,0.9,1.0,2.0,2.0,4.5,8.0,180.0,206.0,0.29,0.31,0.01,0.02,Not Drinkable
2251,"GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENTDISCHARGE POINT, ASSAM",ASSAM,23.0,27.0,6.0,7.0,352.0,358.0,6.0,2.7,0.9,1.0,2.0,2.0,4.5,8.0,202.0,220.0,0.29,0.32,0.01,0.01,Drinkable
2252,"GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK?GUWAHATI, ASSAM",ASSAM,22.0,27.0,7.1,7.6,392.0,398.0,7.1,2.8,1.0,1.1,2.0,2.0,4.5,8.0,222.0,242.0,0.28,0.3,0.01,0.03,Not Drinkable
2253,"GROUND WATER FROMNALBARI, ASSAM",ASSAM,19.0,20.0,7.0,7.2,340.0,344.0,7.0,2.6,0.9,2.5,2.0,2.0,4.5,8.0,194.0,218.0,0.26,0.3,0.01,0.01,Drinkable
2254,"GROUND WATER FROM BARPETAROAD(RLY STATION), ASSAM",ASSAM,32.0,32.0,7.4,7.4,158.0,158.0,7.4,2.6,0.9,0.9,2.0,2.0,4.5,8.0,120.0,120.0,0.32,0.32,0.02,0.02,Not Drinkable
2255,"GROUND WATER NEAR BPRL,DHALIGAON, ASSAM",ASSAM,26.0,30.0,6.8,7.0,310.0,347.0,6.8,2.6,0.8,0.9,2.0,2.0,4.5,8.0,196.0,198.0,0.28,0.32,0.01,0.02,Not Drinkable
2256,"GROUND WATER FROM KOKRAJHAR DISTRICT (HSSCHOOL ), ASSAM",ASSAM,25.0,30.0,6.9,7.7,342.0,348.0,6.9,2.5,0.8,1.0,2.0,2.0,4.5,8.0,196.0,212.0,0.32,0.33,0.01,0.02,Not Drinkable
2257,"GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),ASSAM",ASSAM,24.0,29.0,6.8,7.2,316.0,342.0,6.8,2.6,0.8,0.9,2.0,2.0,4.5,8.0,180.0,210.0,0.3,0.3,0.01,0.04,Not Drinkable
2258,"GROUND WATER FROM GOALPARA DIST. (GOALPARACOLLEGE ), ASSAM",ASSAM,27.0,31.0,6.8,6.9,332.0,336.0,6.8,2.4,1.0,1.1,2.0,2.0,4.5,8.0,190.0,206.0,0.28,0.31,0.01,0.01,Drinkable
2259,"GROUND WATER FROM DIPHU(GOVT. COLLEGE), ASSAM",ASSAM,28.0,28.0,6.9,6.9,264.0,264.0,6.9,2.6,1.6,1.6,2.0,2.0,4.5,8.0,188.0,188.0,0.33,0.33,0.01,0.01,Drinkable
2261,"GROUND WATER FROMHAFLONG, ASSAM",ASSAM,14.0,14.0,7.0,7.0,113.0,113.0,7.0,2.2,1.0,1.0,2.0,2.0,4.5,8.0,72.0,72.0,0.28,0.28,0.01,0.01,Drinkable
2262,"GROUND WATER FROMKARIMGANJ (COLLEGE), ASSAM",ASSAM,22.0,24.0,6.8,6.9,126.0,132.0,6.8,2.6,1.0,1.1,2.0,2.0,4.5,8.0,80.0,96.0,0.31,0.32,0.01,0.01,Drinkable
2263,"GROUND WATER FROM HIALAKANDI (NEAR ASTC BUSSTAND ), ASSAM",ASSAM,24.0,24.0,6.9,7.0,182.0,186.0,6.9,2.3,0.8,0.9,2.0,2.0,4.5,8.0,112.0,126.0,0.28,0.31,0.01,0.01,Drinkable
2264,"GROUND WATER IN PANCHGRAM MARKET NEARCACHAR PAPER MILL, ASSAM",ASSAM,22.0,23.0,6.8,7.2,152.0,156.0,6.8,2.7,0.8,0.9,2.0,2.0,4.5,8.0,96.0,106.0,0.26,0.3,0.01,0.02,Not Drinkable
3761,GROUND WATER FROMBISWANATH CHARIALI TOWN,ASSAM,22.0,25.0,7.4,7.5,262.0,270.0,7.4,2.6,0.8,1.1,2.0,2.0,4.5,8.0,148.0,158.0,0.3,0.31,0.01,0.01,Drinkable
3762,"GROUND WATER NEAR MUNICIPAL WASTE PROCESSINGFACILITY, MORABHARLI, TEZPUR",ASSAM,26.0,26.0,6.6,7.1,246.0,278.0,6.6,2.4,0.8,1.6,1.8,1.8,1.8,1.8,166.0,166.0,0.27,0.33,0.01,0.01,Drinkable
3766,GROUND WATER FROMMANGALDOI TOWN,ASSAM,26.0,27.0,6.8,7.0,196.0,360.0,6.8,2.2,0.9,1.2,1.8,1.8,1.8,1.8,134.0,204.0,0.28,0.36,0.01,0.01,Drinkable
3770,"GROUND WATER NEAR GARMURRECREATION GROUND, JORHAT",ASSAM,20.0,25.0,6.9,7.0,240.0,245.0,6.9,2.7,0.9,1.0,2.0,2.0,4.5,8.0,140.0,162.0,0.28,0.3,0.01,0.01,Drinkable
3771,"GROUND WATER FROM TITABARURBAN WATER SUPPLY, TITABAR",ASSAM,19.0,26.0,6.9,8.0,422.0,428.0,6.9,2.5,1.0,1.1,2.0,2.0,4.5,8.0,232.0,266.0,0.28,0.3,0.01,0.01,Drinkable
3779,"GROUND WATER FROMGARMUR, MAJULI",ASSAM,24.0,24.0,6.8,6.8,194.0,194.0,6.8,2.1,1.6,0.32,2.0,2.0,4.5,8.0,132.0,132.0,0.33,0.33,0.01,0.01,Drinkable
3782,"GROUND WATER FROM NIZ KODOMONI PWSS COMPLEX,DIBRUGARH",ASSAM,23.0,23.0,6.3,7.47,176.0,176.0,6.3,2.5,1.0,1.0,2.0,2.0,4.5,8.0,122.0,122.0,0.32,0.32,0.01,0.01,Drinkable
3785,"GROUND WATER FROM BORBEEL NO. 1 , RAM NAGAR, DIGBOI, PUBLIC WATER SUPPLY,TINSUKIA",ASSAM,22.0,23.0,6.8,6.9,260.0,264.0,6.8,2.5,0.9,1.0,2.0,2.0,4.5,8.0,150.0,176.0,0.28,0.31,0.01,0.01,Drinkable
3790,"GROUND WATER NEAR GOGAMUKH PUBLIC WATER SUPPLY SCHEME, GOGAMUKH,DHEMAJI",ASSAM,23.0,23.0,7.1,7.1,212.0,212.0,7.1,2.2,1.4,1.4,2.0,2.0,4.5,8.0,146.0,146.0,0.31,0.31,0.01,0.01,Drinkable
3793,"TUBE WELL AT R/O SRI TANKESWAR DAS, RUPJYOTI COLONY (NAGABALI) MUNICIPALITY DUMPING SITE,GOLAGHAT",ASSAM,27.0,27.0,7.2,7.2,242.0,242.0,7.2,2.5,1.0,1.0,2.0,2.0,4.5,8.0,166.0,166.0,0.31,0.31,0.01,0.01,Drinkable
3794,"TUBE WELL AT R/O SRI ANIL BAORA AT BOSAGAON NEAR BY THE ATHKHALIA, NAMGHAR, PO:PULIKAITONI",ASSAM,26.0,26.0,7.4,7.5,298.0,303.0,7.4,2.6,0.8,0.9,2.0,2.0,4.5,8.0,170.0,178.0,0.28,0.3,0.01,0.01,Drinkable
3795,"TUBE WELL OF WOKHA GORONGA GIRLS ME SCHOOL,GOROUNGA TINIALI, FURKATING",ASSAM,26.0,26.0,7.1,7.4,342.0,345.0,7.1,2.6,0.9,1.0,2.0,2.0,4.5,8.0,192.0,208.0,0.3,0.31,0.01,0.01,Drinkable
3801,"GROUND WATER FROM MEHEPUR TRENCHING GROUND,MEHERPUR, CACHAR",ASSAM,23.0,24.0,6.8,6.9,201.0,212.0,6.8,2.5,0.9,1.0,2.0,2.0,4.5,8.0,118.0,132.0,0.28,0.31,0.01,0.01,Drinkable
3802,"GROUND WATER FROM MEHEPUR NEAR A CLUSTER OF NURSING HOME & DIAGNOSTICCENTRE, MEHERPUR, CACHAR",ASSAM,23.0,24.0,7.0,7.2,206.0,216.0,7.0,2.5,0.8,0.9,2.0,2.0,4.5,8.0,120.0,138.0,0.29,0.31,0.01,0.01,Drinkable
3805,"GROUND WATER NEAR BADARPUR INDUSTRIAL AREA ATBADARPUR GHAT, KARIMGANJ",ASSAM,23.0,24.0,6.8,7.2,158.0,162.0,6.8,2.4,1.0,1.1,2.0,2.0,4.5,8.0,98.0,112.0,0.3,0.31,0.01,0.01,Drinkable
3813,"GROUND WATER FROM BONDA,GUWAHATI",ASSAM,24.0,25.0,6.7,6.9,324.0,328.0,6.7,2.6,0.7,0.9,2.0,2.0,4.5,8.0,180.0,206.0,0.28,0.32,0.01,0.01,Drinkable
3815,"GROUND WATER FROMKHANAPARA, GUWAHATI",ASSAM,24.0,24.0,6.8,7.0,198.0,346.0,6.8,2.5,0.7,1.0,1.8,1.8,1.8,1.8,142.0,190.0,0.28,0.32,0.01,0.01,Drinkable
3816,"GROUND WATER FROMBASISTHA, GUWAHATI",ASSAM,24.0,24.0,-6.9,7.2,210.0,370.0,-6.9,2.4,0.8,1.2,1.8,1.8,1.8,1.8,148.0,202.0,0.31,0.32,0.01,0.01,Not Drinkable
3817,"GROUND WATER FROMKAHILIPARA, GUWAHATI",ASSAM,26.0,27.0,7.02,7.4,338.0,352.0,7.02,2.4,0.8,2.4,1.8,1.8,1.8,1.8,186.0,220.0,0.28,0.36,0.01,0.01,Drinkable
3818,"GROUND WATER FROMMALIGAON, GUWAHATI",ASSAM,27.0,27.0,6.9,7.4,342.0,367.0,6.9,2.7,0.9,1.8,1.8,1.8,1.8,1.8,202.0,226.0,0.27,0.32,0.01,0.01,Drinkable
4001,GROUND WATER FROMPANJABARI,ASSAM,24.0,26.0,6.8,7.0,266.0,330.0,6.8,2.3,0.8,1.4,1.8,1.8,1.8,1.8,178.0,188.0,0.3,0.33,0.01,0.01,Drinkable
4002,GROUND WATER FROMSANTIPUR,ASSAM,27.0,27.0,7.0,7.3,216.0,346.0,7.0,2.6,0.8,1.2,1.8,1.8,1.8,1.8,132.0,190.0,0.29,0.33,0.01,0.01,Drinkable
4003,GROUND WATER FROM TEZPURCOLLEGIATE HIGH SCHOOL,ASSAM,26.0,26.0,7.0,7.0,164.0,254.0,7.0,2.5,0.7,1.5,1.8,1.8,1.8,1.8,98.0,178.0,0.28,0.33,0.01,0.01,Drinkable
4007,GROUND WATER FROM LAKWAH,ASSAM,22.0,25.0,6.9,7.2,190.0,293.0,6.9,2.6,0.8,1.4,1.8,1.8,1.8,1.8,128.0,170.0,0.26,0.32,0.01,0.01,Drinkable
4008,GROUND WATER FROM GELEKY,ASSAM,21.0,25.0,7.7,7.7,221.0,295.0,7.7,2.5,0.8,0.9,1.8,1.8,1.8,1.8,126.0,168.0,0.27,0.34,0.01,0.01,Drinkable
4303,GROUND WATER FROMSATGAON,ASSAM,24.0,24.0,6.9,7.3,242.0,322.0,6.9,2.4,0.9,1.2,1.8,1.8,1.8,1.8,172.0,178.0,0.28,0.32,0.01,0.01,Drinkable
4327,"GROUND WATER FROM RAILWAYSTATION ROAD, ROWTA",ASSAM,25.0,26.0,6.7,6.9,212.0,326.0,6.7,2.5,0.8,1.0,1.8,1.8,1.8,1.8,148.0,188.0,0.29,0.33,0.01,0.01,Drinkable
4328,"GROUND WATER BESIDE MSWDUMPING SITE, DHEKIAJULI",ASSAM,24.0,28.0,6.8,7.8,210.0,337.0,6.8,2.6,0.7,1.4,1.8,1.8,1.8,1.8,140.0,188.0,0.29,0.3,0.01,0.01,Drinkable
4330,GROUND WATER NEAR PANGRAM STONE CRASHERCLUSTER,ASSAM,22.0,22.0,7.0,7.0,142.0,142.0,7.0,2.2,0.7,0.7,2.0,2.0,4.5,8.0,88.0,88.0,0.3,0.3,0.01,0.01,Drinkable
4333,GROUND WATER FROM DEMOWWATER SUPPLY DEMOW TOWN,ASSAM,25.0,27.0,7.2,7.5,220.0,326.0,7.2,2.3,0.8,0.8,1.8,1.8,1.8,1.8,128.0,188.0,0.27,0.3,0.01,0.01,Drinkable
4335,"GROUND WATER FROM AMGURI,AMGURI TOWN",ASSAM,20.0,28.0,7.0,7.6,242.0,256.0,7.0,2.5,0.8,1.1,1.8,1.8,1.8,1.8,138.0,146.0,0.26,0.3,0.01,0.01,Drinkable
4338,GROUND WATER FORM TENGA PUKHURI KUKURACHOWAWATER SUPPLY TENGA PUKHURI,ASSAM,24.0,26.0,6.9,7.7,122.0,267.0,6.9,2.3,0.8,1.4,1.8,1.8,1.8,1.8,84.0,158.0,0.28,0.32,0.01,0.01,Drinkable
4339,"GROUND WATER NEAR NAGAON TOWN PIPE WATER SUPPLYSCHEME(Z?111), NAGAON",ASSAM,21.0,21.0,6.9,6.9,186.0,186.0,6.9,2.5,1.4,1.4,2.0,2.0,4.5,8.0,126.0,126.0,0.34,0.34,0.01,0.01,Drinkable
4340,"GROUND WATER FROM NAGAONCOLLEGE, NAGAON",ASSAM,21.0,21.0,6.8,6.8,196.0,196.0,6.8,2.6,1.2,1.2,2.0,2.0,4.5,8.0,134.0,134.0,0.33,0.33,0.01,0.01,Drinkable
